iter	RMSE
232	0.1639386047
233	0.163724483
234	0.1636151756
235	0.1635064248
236	0.1632513531
237	0.1630310298
238	0.1627958756
239	0.162633297
240	0.1624050057
241	0.1623223999
242	0.1622413585
243	0.1621567728
244	0.1620880906
245	0.162000799
246	0.1619387778
247	0.1618931676
248	0.1617494564
249	0.161680493
250	0.1614897887
251	0.1614105803
252	0.161344429
253	0.1612440194
254	0.1611402116
255	0.1610528867
256	0.1610090685
257	0.1609635534
258	0.1609503703
259	0.1609105069
260	0.1607659863
261	0.1606953409
262	0.1606099025
263	0.1605020354
264	0.1604475385
265	0.1603112789
266	0.1602718036
267	0.1601262014
268	0.1599252959
269	0.1598053184
270	0.1596734736
271	0.1596061051
272	0.1595595143
273	0.1594587119
274	0.1594045033
275	0.1593227857
276	0.1592058499
277	0.1591407765
278	0.1591048096
279	0.1590308814
280	0.1588730742
281	0.1588138116
282	0.1586907696
283	0.1586054743
284	0.1585100573
285	0.1584490338
286	0.1583470407
287	0.1582925775
288	0.1582024219
289	0.1581026741
290	0.1580249869
291	0.157861236
292	0.1578532388
293	0.1578193248
294	0.1577368016
295	0.1575812401
296	0.1574396994
297	0.1573874237
298	0.1573221887
299	0.1571882868
300	0.1570504772
301	0.1569961365
302	0.1568708861
303	0.1567457607
304	0.1566703534
305	0.1564620953
306	0.1564211414
307	0.1562383467
308	0.1560605441
309	0.1559885537
310	0.1559114676
311	0.155738038
312	0.1555896121
313	0.1554819829
314	0.1553176598
315	0.1552978553
316	0.1551366125
317	0.1549451489
318	0.1548444067
319	0.154706081
320	0.15463765
321	0.1545901046
322	0.1545553798
323	0.1544545731
324	0.1544132537
325	0.1543656329
326	0.1543059561
327	0.1542123864
328	0.1541551584
329	0.1541071667
330	0.15405927
331	0.1538597575
332	0.1538097055
333	0.15374599
334	0.1536626876
335	0.1535508898
336	0.1535386185
337	0.1534826476
338	0.1534052688
339	0.1533429151
340	0.1532728511
341	0.1532161682
342	0.1531601254
343	0.1531062501
344	0.1530833471
345	0.1529931346
346	0.1529007097
347	0.1527714897
348	0.1526810666
349	0.1525967494
350	0.152505492
351	0.1524466264
352	0.1524015883
353	0.1523816652
354	0.1522543709
355	0.1521566393
356	0.1521157092
357	0.1519933208
358	0.1519715295
359	0.1518642485
360	0.1518099514
361	0.1517486328
362	0.1516727152
363	0.1516531717
364	0.1515758293
365	0.1513724793
366	0.151263965
367	0.151192531
368	0.1511822495
369	0.1510706784
370	0.1509898414
371	0.150901514
372	0.1508311366
373	0.1506404796
374	0.150562934
375	0.1505326254
376	0.150451925
377	0.1503999588
378	0.1503406001
379	0.1502619875
380	0.1501878204
381	0.1500968633
382	0.1500434534
383	0.1499465847
384	0.1499310378
385	0.1498995719
386	0.1498421486
387	0.1498152096
388	0.1497531838
389	0.149688218
390	0.1496332309
391	0.1496210671
392	0.1493679789
393	0.1492862186
394	0.1492517809
395	0.1491903763
396	0.1491482339
397	0.1490590108
398	0.1488352282
399	0.1487446006
400	0.1487078608
401	0.1485456897
402	0.1484813541
403	0.1484581128
404	0.1483577435
405	0.1482775201
406	0.1481738974
407	0.1480944783
408	0.1480298213
409	0.1479945999
410	0.1479404552
411	0.1479242501
412	0.1479129935
413	0.1478426553
414	0.1478133674
415	0.147762884
416	0.1477072855
417	0.1476601839
418	0.1476128443
419	0.1475737674
420	0.1474767288
421	0.14741206
422	0.1474027646
423	0.1472968102
424	0.1472921021
425	0.1472477284
426	0.147155539
427	0.1471005175
428	0.1470442646
429	0.147017166
430	0.1469682994
431	0.1469276219
432	0.146909003
433	0.1468620323
434	0.1467519561
435	0.1466005671
436	0.146548336
437	0.1464808708
438	0.1464065945
439	0.1463365005
440	0.1462635745
441	0.1461996855
442	0.146130862
443	0.1461208515
444	0.1461155234
445	0.1459596468
446	0.1459066563
447	0.1458102277
448	0.1457203452
449	0.1456705093
450	0.145638504
451	0.1455843936
452	0.1455434495
453	0.1454905991
454	0.1454677437
455	0.1454449884
456	0.145410669
457	0.1453268471
458	0.1451467334
459	0.1450746118
460	0.1450329071
461	0.1449100219
462	0.1448156768
463	0.1447461147
464	0.1446491331
465	0.1444884942
466	0.1444376861
467	0.1442728909
468	0.1442024212
469	0.1441258131
470	0.143984381
471	0.1438929864
472	0.1438046558
473	0.14373864
474	0.1436898393
475	0.1436532446
476	0.1435868927
477	0.1435547712
478	0.1435130056
479	0.1434634725
480	0.1434369803
481	0.1433987096
482	0.1433593371
483	0.1432977749
484	0.1432773957
485	0.1432328241
486	0.1432086957
487	0.1431876217
488	0.1431747402
489	0.1431629892
490	0.1431281124
491	0.1431198921
492	0.143114192
493	0.1430983527
494	0.143076853
495	0.1430435098
496	0.1430157754
497	0.1429511738
498	0.1428926666
499	0.1428707479
500	0.1428372353
501	0.1427909425
502	0.1427434807
503	0.1426768095
504	0.1425699284
505	0.1425111209
506	0.1424445851
507	0.1424175745
508	0.1423791219
509	0.1423209114
510	0.142293763
511	0.1422189896
512	0.1421668404
513	0.1421095178
514	0.1420925926
515	0.1420571353
516	0.1419593736
517	0.1418950326
518	0.1418626424
519	0.1417681575
520	0.1417372382
521	0.1416300027
522	0.1415720515
523	0.1415562336
524	0.1415152056
525	0.1414722584
526	0.1414326714
527	0.1413576021
528	0.1413025711
529	0.1412605182
530	0.1411900366
531	0.1409274458
532	0.1409037349
533	0.1408309651
534	0.1408069815
535	0.1407293239
536	0.1406352796
537	0.1406317796
538	0.1406041159
539	0.1405813006
540	0.1405087356
541	0.1404856071
542	0.1404302801
543	0.140337797
544	0.14030576
545	0.1402759818
546	0.1402331257
547	0.1401961992
548	0.1401164933
549	0.1400839468
550	0.1400332423
551	0.1399998926
552	0.139939648
553	0.1399303966
554	0.1399125538
555	0.1398710053
556	0.1397925214
557	0.1397670955
558	0.1396473994
559	0.1395955934
560	0.1395687816
561	0.1395114536
562	0.1394441856
563	0.1394319661
564	0.1393887174
565	0.1393622294
566	0.1393155239
567	0.1393117072
568	0.1392870758
569	0.1392624086
570	0.1391691753
571	0.1391295443
572	0.1390452804
573	0.1389510602
574	0.1389295539
575	0.1388969703
576	0.1388557626
577	0.1388164918
578	0.1387652343
579	0.1387356005
580	0.1386970826
581	0.1386576507
582	0.1386423011
583	0.1385879128
584	0.1385757553
585	0.1385246008
586	0.1384447355
587	0.138400473
588	0.1383524428
589	0.1383298882
590	0.1382596003
591	0.1382169993
592	0.1381715007
593	0.1381270077
594	0.1381230566
595	0.1380670428
596	0.1380562567
597	0.137971275
598	0.1378965116
599	0.1378678582
600	0.1378249478
601	0.1377244587
602	0.1376599636
603	0.1376364096
604	0.1375831161
605	0.1374797545
606	0.1374255574
607	0.1373234342
608	0.1372767574
609	0.1372528099
610	0.1372223471
611	0.1371433836
612	0.1371246392
613	0.1370754852
614	0.137062982
615	0.1369932005
616	0.1369681475
617	0.1369322024
618	0.1368606305
619	0.1368013108
620	0.1367789566
621	0.1367437159
622	0.1366709446
623	0.1366403316
624	0.1365963046
625	0.1365593685
626	0.1364743587
627	0.1364580548
628	0.136409596
629	0.1363869787
630	0.1363507857
631	0.1363472007
632	0.136244696
633	0.1362202833
634	0.1361999814
635	0.1361808329
636	0.1361285424
637	0.136105539
638	0.1360484423
639	0.1359127146
640	0.1358762768
641	0.1358231496
642	0.1357696698
643	0.1356805005
644	0.1356447331
645	0.1355926629
646	0.1355556203
647	0.1354979855
648	0.1354417784
649	0.1353737956
650	0.1353608055
651	0.1353088586
652	0.1352992028
653	0.1352731146
654	0.1352422002
655	0.1352012448
656	0.1351633327
657	0.1351055893
658	0.1350868881
659	0.1350656185
660	0.1350541624
661	0.1350379723
662	0.1349916401
663	0.1349661596
664	0.1349528708
665	0.134926286
666	0.1348930587
667	0.1348402538
668	0.1347813739
669	0.1347036145
670	0.1346399261
671	0.1346016331
672	0.1345696385
673	0.1345410704
674	0.1344932982
675	0.134414387
676	0.1343860186
677	0.1343468569
678	0.1342870701
679	0.1342460642
680	0.1341996211
681	0.1341754675
682	0.1341271646
683	0.1340751463
684	0.134048854
685	0.1339882599
686	0.1339011456
687	0.1338619725
688	0.1338356301
689	0.1338009933
690	0.1337256075
691	0.1336672068
692	0.1336398613
693	0.1336097455
694	0.1335790935
695	0.1335703719
696	0.1335364479
697	0.1334562532
698	0.133400706
699	0.1333670421
700	0.133303672
701	0.1331727728
702	0.1331242443
703	0.1330532358
704	0.1330240279
705	0.1329478403
706	0.1328834739
707	0.1328543783
708	0.1327895825
709	0.1327410619
710	0.1327324603
711	0.1327027874
712	0.1326685911
713	0.1326234562
714	0.1325985979
715	0.1325104463
716	0.1324637331
717	0.1323917366
718	0.1323458168
719	0.1322846221
720	0.1322018039
721	0.1321623485
722	0.132139904
723	0.132088054
724	0.132035357
725	0.131988926
726	0.1319772946
727	0.1319427735
728	0.1318893591
729	0.1317096248
730	0.1316990292
731	0.1316860233
732	0.1316591586
733	0.1316244526
734	0.1315903727
735	0.1315530263
736	0.1315168079
737	0.1314818225
738	0.1314391555
739	0.1314136619
740	0.1313799066
741	0.131272697
742	0.1312304856
743	0.1312093125
744	0.1311888552
745	0.1311766834
746	0.1311350621
747	0.1311016287
748	0.1310704066
749	0.1310470097
750	0.1310191632
751	0.1309745204
752	0.1309626289
753	0.1309478202
754	0.1308678279
755	0.1307661428
756	0.1307637934
757	0.1307362538
758	0.1306432459
759	0.1306060066
760	0.1305596564
761	0.1305228468
762	0.1305021566
763	0.1304618399
764	0.1304472534
765	0.1304164891
766	0.1303873868
767	0.1303852613
768	0.1303643946
769	0.1302942824
770	0.1302713319
771	0.1302374371
772	0.1301857876
773	0.1301810147
774	0.1301489766
775	0.1300679966
776	0.1300462562
777	0.1300153692
778	0.1299660582
779	0.1299556605
780	0.1299225875
781	0.1298531279
782	0.1298366392
783	0.1298200072
784	0.1297880605
785	0.1297664826
786	0.1297505581
787	0.129720539
788	0.1296561297
789	0.1296143697
790	0.1295654477
791	0.1294774188
792	0.1294456753
793	0.1294107618
794	0.1293767426
795	0.1293530977
796	0.1293041484
797	0.1292823105
798	0.1292593556
799	0.1291739483
800	0.1291347659
801	0.1290899816
802	0.1290653025
803	0.1289880494
804	0.1289678294
805	0.1289321337
806	0.1289082792
807	0.128900231
808	0.1288450117
809	0.128835396
810	0.1288162026
811	0.1287855465
812	0.1287663696
813	0.1287473403
814	0.128709083
815	0.1286885228
816	0.1286533864
817	0.1286238695
818	0.1285872792
819	0.1285602943
820	0.1285463511
821	0.1285301835
822	0.1284744005
823	0.1284633466
824	0.1284421195
825	0.1284180939
826	0.1284117236
827	0.1283985221
828	0.1283936554
829	0.1283772917
830	0.1283532537
831	0.12833347
832	0.1282763086
833	0.1282638496
834	0.1282047168
835	0.1281890991
836	0.1281228265
837	0.1280850133
838	0.1280721581
839	0.1280239408
840	0.1280031229
841	0.127972442
842	0.1279662405
843	0.1279352751
844	0.1279279475
845	0.1279142942
846	0.1278761859
847	0.1278635202
848	0.1278426133
849	0.1278033539
850	0.1277782228
851	0.1277674353
852	0.1276897786
853	0.1276706618
854	0.127590799
855	0.1275743369
856	0.127559499
857	0.1275256482
858	0.1275140417
859	0.1274841496
860	0.1274444463
861	0.1274058354
862	0.1273989948
863	0.1273767115
864	0.1273641569
865	0.1273376953
866	0.1273075791
867	0.1272765441
868	0.127233632
869	0.1272196185
870	0.1271952
871	0.1271769631
872	0.12715562
873	0.1271382388
874	0.1271260104
875	0.127037779
876	0.1270286707
877	0.1270102573
878	0.1270029498
879	0.1270017208
880	0.1269152484
881	0.1268989864
882	0.1268883511
883	0.1268404463
884	0.1268047885
885	0.1267669053
886	0.1266974452
887	0.1266930161
888	0.1266084667
889	0.1265975534
890	0.1265870902
891	0.1265688714
892	0.1265482918
893	0.1264826084
894	0.1264440109
895	0.1264259396
896	0.1264047729
897	0.1263632876
898	0.1263413389
899	0.1263066428
900	0.1262964282
901	0.126271179
902	0.1262372071
903	0.126167854
904	0.126152773
905	0.1261234327
906	0.1261019701
907	0.1260330882
908	0.1260086347
909	0.1260044882
910	0.1259958078
911	0.1259338556
912	0.1259001031
913	0.1258784723
914	0.1258388002
915	0.1258187169
916	0.1258030199
917	0.1258015426
918	0.1257662196
919	0.1257552444
920	0.1257496809
921	0.1257316716
922	0.1257048783
923	0.1256778552
924	0.1256757335
925	0.1256445955
926	0.1256222405
927	0.1255854275
928	0.1255596988
929	0.1255175488
930	0.1254827936
931	0.125426814
932	0.1254054679
933	0.1253476032
934	0.125226608
935	0.1252012214
936	0.1251517394
937	0.1251465891
938	0.1251183964
939	0.125103004
940	0.1250956067
941	0.1250511154
942	0.1249975122
943	0.1249873589
944	0.1249197792
945	0.1249064765
946	0.1248846956
947	0.1248785561
948	0.1248333031
949	0.1248147922
950	0.1248062206
951	0.1247653218
952	0.1247596896
953	0.1247205195
954	0.1246874791
955	0.1246602561
956	0.1246197653
957	0.1246124243
958	0.1245913464
959	0.1245510517
960	0.124525265
961	0.1244978712
962	0.1244810499
963	0.1244630587
964	0.1244346988
965	0.1244134553
966	0.1243851622
967	0.124334058
968	0.1243141594
969	0.1242970972
970	0.1242764383
971	0.1242501472
972	0.124230416
973	0.124139092
974	0.1240868973
975	0.1240656245
976	0.1240430736
977	0.1240420268
978	0.123991966
979	0.1239475786
980	0.1239027377
981	0.1238570385
982	0.1238459299
983	0.1237842539
984	0.123761458
985	0.1237145077
986	0.1236967887
987	0.123693121
988	0.1236595876
989	0.1236421596
990	0.1236372496
991	0.1236047056
992	0.1235613307
993	0.12354048
994	0.1234950981
995	0.1234912075
996	0.1234641975
997	0.1234303166
998	0.1234081081
999	0.1234045881
53
1221038541
7337
9
.09787083846
999	0.09786599221
216
989	0.08801568228
990	0.08790776279
991	0.0878821795
992	0.08778078893
993	0.08770248475
994	0.08763284098
995	0.08757624299
996	0.08752945328
997	0.08741437511
998	0.08735894077
999	0.08732211676
